id,term,positive_score,nagative_score
"1","ㅋㅋ","0.03574","0.03483"
"2","ㅋㅋㅋ","0.02129","0.02500"
"3","ㅎㅎ","0.05575","0.03379"
"4","ㅎㅎㅎ","0.01818","0.00908"
"5","가가","0.00023","0.00018"
"6","가가린","0.00009","0.00007"
"7","가가멜","0.00003","0.00000"
"8","가가미","0.00007","0.00000"
"9","가각","0.00004","0.00004"
"10","가감","0.00129","0.00147"
"11","가객","0.00002","0.00000"
"12","가갸","0.00005","0.00007"
"13","가게","0.01437","0.01019"
"14","가겟","0.00003","0.00000"
"15","가격","0.02086","0.03168"
"16","가결","0.00006","0.00004"
"17","가경","0.00006","0.00011"
"18","가계","0.00425","0.00443"
"19","가고시마","0.00002","0.00000"
"20","가곡","0.00010","0.00000"
"21","가공","0.00242","0.00243"
"22","가관","0.00023","0.00068"
"23","가교","0.00019","0.00021"
"24","가구","0.00534","0.00540"
"25","가극","0.00002","0.00004"
"26","가글링","0.00002","0.00004"
"27","가금","0.00009","0.00007"
"28","가급","0.00122","0.00139"
"29","가급적","0.00005","0.00014"
"30","가기","0.00007","0.00007"
"31","가까스로","0.00073","0.00064"
"32","가까워다","0.00004","0.00014"
"33","가까이","0.01570","0.01413"
"34","가깝다","0.03551","0.03873"
"35","가꾸다","0.00653","0.00551"
"36","가끔","0.03335","0.03515"
"37","가나","0.00013","0.00018"
"38","가나다","0.00020","0.00029"
"39","가나안","0.00014","0.00018"
"40","가나에","0.00038","0.00068"
"41","가나자와","0.00013","0.00025"
"42","가나코","0.00024","0.00054"
"43","가난","0.01821","0.01595"
"44","가냘프다","0.00019","0.00011"
"45","가네","0.00007","0.00007"
"46","가네샤","0.00002","0.00000"
"47","가네시로","0.00013","0.00011"
"48","가네야마","0.00002","0.00000"
"49","가네코","0.00009","0.00057"
"50","가녀리다","0.00027","0.00036"
"51","가노","0.00010","0.00018"
"52","가누다","0.00034","0.00011"
"53","가느다랗다","0.00049","0.00043"
"54","가늘다","0.00075","0.00072"
"55","가늠","0.00342","0.00329"
"56","가능","0.08231","0.08779"
"57","가니메데","0.00004","0.00000"
"58","가님","0.00007","0.00018"
"59","가다","0.16593","0.16246"
"60","가다듬다","0.00111","0.00179"
"61","가다랑어","0.00002","0.00000"
"62","가닥","0.00101","0.00100"
"63","가단","0.00012","0.00007"
"64","가달","0.00002","0.00007"
"65","가담","0.00072","0.00046"
"66","가데스","0.00005","0.00000"
"67","가도","0.00048","0.00072"
"68","가도쿠라","0.00011","0.00000"
"69","가독","0.00380","0.01126"
"70","가동","0.00080","0.00072"
"71","가두","0.00003","0.00004"
"72","가두다","0.00346","0.00290"
"73","가드","0.00052","0.00036"
"74","가드너","0.00036","0.00029"
"75","가득","0.05838","0.04327"
"76","가득차다","0.00251","0.00315"
"77","가득히","0.00041","0.00043"
"78","가든","0.00066","0.00043"
"79","가등","0.00002","0.00000"
"80","가디","0.00002","0.00004"
"81","가디건","0.00006","0.00029"
"82","가디언","0.00049","0.00057"
"83","가뜩","0.00001","0.00007"
"84","가뜩이나","0.00058","0.00114"
"85","가라","0.00019","0.00014"
"86","가라다","0.00007","0.00000"
