id,term,positive_score,nagative_score
1,ㅋㅋ,0.146,0.12292
2,ㅋㅋㅋ,0.09113,0.12959
3,ㅎㅎ,0.18723,0.05773
4,ㅎㅎㅎ,0.0361,0.0161
5,가가,0.00166,0.00118
6,가감,0.00151,0.00157
7,가게,0.00618,0.00275
8,가격,0.05495,0.1186
9,가계,0.01085,0.00353
10,가공,0.00166,0.00118
11,가관,0.00015,0.0055
12,가구,0.00166,0.00196
13,가급,0.00075,0
14,가까이,0.01259,0.00589
15,가깝다,0.03301,0.04555
16,가꾸다,0.00392,0.00196
17,가끔,0.03399,0.03102
18,가난,0.01063,0.01335
19,가늠,0.00399,0.00157
20,가능,0.0643,0.07304
21,가님,0.00083,0.00118
22,가다,0.15716,0.18889
23,가다듬다,0.00173,0.00196
24,가닥,0.00053,0.00079
25,가독,0.01809,0.04477
26,가득차다,0.00392,0.0055
27,가든,0.0006,0.00157
28,가라앉다,0.00234,0.00275
29,가락,0.0092,0.00746
30,가랑,0.00075,0
31,가량,0.00173,0.00275
32,가렵다,0.00128,0.00079
33,가로,0.00173,0.00353
34,가로막다,0.00053,0.00039
35,가로지르다,0.00053,0
36,가루,0.00279,0.00314
37,가르다,0.00151,0.00275
38,가르치다,0.02774,0.02003
39,가르침,0.00746,0.00432
40,가르키다,0.00113,0.00157
41,가리,0.00151,0.00196
42,가리다,0.00905,0.01296
43,가리키다,0.00053,0
44,가림,0.0006,0.00039
45,가마쿠라,0.00106,0
46,가만,0.00204,0.00079
47,가만가만,0.0006,0
48,가만히,0.00618,0.00314
49,가면,0.00256,0.00353
50,가문,0.00106,0.00157
51,가물가물,0.00204,0.00039
52,가뭄,0.00068,0.00039
53,가미,0.00354,0.00275
54,가방,0.00648,0.00236
55,가벼이,0.00038,0.00118
56,가볍다,0.0995,0.17986
57,가부,0.00264,0.00432
58,가분,0.00075,0.00039
59,가쁘다,0.00173,0.00039
60,가사,0.00603,0.00511
61,가상,0.00392,0.00393
62,가설,0.00113,0.00236
63,가속,0.00075,0
64,가수,0.00204,0.00118
65,가스,0.0009,0.00236
66,가슴,0.11759,0.03181
67,가시,0.00354,0.00236
68,가시다,0.00354,0.00511
69,가식,0.00075,0.00039
70,가엽다,0.00083,0.00118
71,가엾다,0.0006,0
72,가오리,0.00083,0.00275
73,가요,0.00731,0.00511
74,가우디,0.00098,0.00118
75,가운데,0.01183,0.00982
76,가위,0.00075,0
77,가을,0.01681,0.00393
78,가의,0.00106,0.00196
79,가이드,0.01621,0.01414
80,가입,0.00317,0.00589
81,가장,0.19243,0.10367
82,가재,0.0006,0.00079
83,가정,0.01613,0.01649
84,가져가다,0.00415,0.00471
85,가져다주다,0.00196,0
86,가져오다,0.00889,0.00942
87,가족,0.08766,0.04398
88,가죽,0.00143,0
89,가중,0.00045,0.00157
90,가즈,0.00377,0
91,가즈아키,0.00098,0
92,가즈오,0.00128,0.00118
93,가지,0.00859,0.011
94,가지다,0.18972,0.12998
95,가짐,0.00754,0.00589
96,가짜,0.00271,0.00432
97,가축,0.0009,0
98,가출,0.00158,0.00039
